# latent_filename	original_filename	quality_rank
5d0ee89c033de18ef9aac526ea16dcccf11421c151a6174c664b12a0c2b28eec_latent.pt	00003764.jpg	66
5abf0ef47639c7cdb6b3faa6d3415d5b86a6d6ca3002ff9c86c3c3d8a857f11e_latent.pt	00001481.jpg	67
955689a0eeff9b1d0214025fdbc0b0bd7de91528feafad5a9958b2f3434093b6_latent.pt	00001692.jpg	68
5cdab02940913571ba797bc7539e0e33fc39138c077a49bdf703306882ded1d1_latent.pt	00003654.jpg	69
1a7242c1032ab688bed6c58f4422376d9546187c67b38bc24a52ff6b4941ea44_latent.pt	00002551.jpg	70
2d2ac7f28256c287d496ae507985545e20d12fd7fcf471a538a25f882291c718_latent.pt	00000297.jpg	71
e3063c39920e849de2c20bf71a12caf512eee34edcf9a543d004d4e1dc6e5364_latent.pt	00000416.jpg	72
b6f8d03cf09bbccc8906ce4377489237718967e415de3067ff73d3240e67664d_latent.pt	00003795.jpg	73
0ec7970a10ea6cfd1702129987a4893f6fa0a74e31b6485e68b1e0670a04a6b9_latent.pt	00004177.jpg	74
7a3c8702c32a51779e522b5991007fbcd91bb35d7de1e3735850d6fa24b2241e_latent.pt	00004540.jpg	75
e8df66a1f959d6643306c5777fc7d1d41823ffe080749b4b482008335907d7b1_latent.pt	00000940.jpg	76
2bf701ae5564cd365df3503a86aa0d71f15628b15245ffaa25a428726fc81aba_latent.pt	00001401.jpg	79
cf01e8c22bc3e6a6c5effb3eb861c29523faca621af00d56e9ace636ae42a079_latent.pt	00001875.jpg	80
e7bd06160aea153c4b1f521a60f95d1bebbab15bdcfda50542bf974642f20605_latent.pt	00000857.jpg	82
55725c4e575eb77d51718c0476d22c83f27e49c3e5597abdae34fb08e8149a36_latent.pt	00000518.jpg	83
555db51c4a46ce206a74d9c4558b48f47521ccd0a09e2010e5cd1379c4cf4146_latent.pt	00004387.jpg	84
2aad547f76812f02863421bb3e5bf93f1a2aeda379d1e57347bc3ccef6f09fc7_latent.pt	00003705.jpg	85
8a72e4c26ac0c2ef0e777fe3e83b5721fc14ece83a1a199ccee8b3c8ebf24b0f_latent.pt	00004238.jpg	86
ebe1bebbbe576408ffbda8d72bdb8f4a43be1f385239689bf3bb9da118b7fc74_latent.pt	00000193.jpg	87
ca0ab0a3ec8e54d0a1ecfdbc943881093671c88ea416a3b6500b86ad6617d647_latent.pt	00000152.jpg	88
85ba83413fcbd0cb297fdf1da3369e8a6563807b8a20bb90a42b60d509f8eb8c_latent.pt	00000945.jpg	89
1573ab1415f1e16aa614092fb024334dc2882c1dbe0105d993f5b16344b853ff_latent.pt	00004970.jpg	90
2c13ac27b2b951b2c8bc1e7aec9311d0b4f608e8d47872b6c9ed0ae157d57741_latent.pt	00001503.jpg	91
861d922b2adf4a171a3682f44496642ab2d7c851498c9c1750f67edc8c73270b_latent.pt	00003676.jpg	92
8890b44eed21207404faf3aa3c416143b409f37dec8954711fe1cc42017e5108_latent.pt	00002354.jpg	94
8462f29c8106592397dbccfca97484b0c842a502588afe736911410a078005fc_latent.pt	00001022.jpg	96
e43db30e893d0b6405183158b82c9ecfbe39409307d6b390f50b54e35083e163_latent.pt	00004810.jpg	97
8df434d2ddf67d09022bd5f4ff2dd540f050a91ee11265b9dcd1ce9658aa14b3_latent.pt	00004458.jpg	99
c521ccef1c870459db196bfb07796af519d88a4c923a0f7512d1d35600bd9af8_latent.pt	00002568.jpg	101
087cb0dc7e2ca2ab96d17831491b94b2acbc633898a7662914bc3f7673e6aa8b_latent.pt	00004425.jpg	102
52c4ae1ac6fe06d6001e11f66cf41e6f133639b430765d3373d03c717ade3183_latent.pt	00001861.jpg	103
0eebdc737c92379514aece161d7356b3af7008eec05901e0d2b75a992b97df30_latent.pt	00003917.jpg	104
dccf1e98ac483d4991eccf49f2efdd4b6f19db286c40190bfbcb755a3ce607f3_latent.pt	00000976.jpg	105
9cdbbd350672ffe0de60f88e4f0f316769902baad9784edf91e83dfee00068d1_latent.pt	00001064.jpg	106
493b1c18055dcec6fabd1de1f3c09c69c4df382b56e58c85400d8eda52265e1c_latent.pt	00003856.jpg	107
f7629ecdddf3f2e028ff8ab330f868c309bbfb6a5bcfd16f30e3c62a47b6f1ff_latent.pt	00003248.jpg	108
