stem,status,shape_match,original_path,reconstruction_path,original_shape,reconstruction_shape,mse,rmse,mae,max_abs_diff,p95_abs_diff,psnr_db,ssim,pixel_equal_ratio
Places365_val_00000408,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000408.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000408_recon.png,256x256x3,256x256x3,661.905029296875,25.72751502374209,21.101089477539062,166.0,51.0,19.922846799042226,0.9274541893268748,0.0
Places365_val_00000409,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000409.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000409_recon.png,256x256x3,256x256x3,587.375244140625,24.23582563356621,16.953643798828125,153.0,53.0,20.441647223237645,0.9361866800755728,0.0001068115234375
Places365_val_00000410,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000410.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000410_recon.png,256x256x3,256x256x3,550.20361328125,23.45641944716307,16.831512451171875,220.0,50.0,20.725569227187243,0.8731979036935823,9.1552734375e-05
Places365_val_00000411,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000411.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000411_recon.png,256x256x3,256x256x3,483.2904357910156,21.983867625852728,15.057002067565918,151.0,49.0,21.288721602340694,0.9576861017350919,0.0001220703125
Places365_val_00000412,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000412.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000412_recon.png,256x256x3,256x256x3,520.7553100585938,22.82006376105452,18.293930053710938,142.0,43.0,20.964466537941885,0.9451222539703201,1.52587890625e-05
Places365_val_00000413,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000413.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000413_recon.png,256x256x3,256x256x3,242.4636993408203,15.57124591485281,11.329360961914062,120.0,33.0,24.28433633830909,0.9752754003764494,0.00018310546875
Places365_val_00000414,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000414.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000414_recon.png,256x256x3,256x256x3,361.3087463378906,19.008123167159102,13.076960563659668,159.0,41.0,22.552018860413586,0.9292785012892211,7.62939453125e-05
Places365_val_00000415,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000415.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000415_recon.png,256x256x3,256x256x3,382.252685546875,19.551283475692202,10.517664909362793,175.0,46.0,22.307298156021485,0.9147509720605286,0.0029296875
Places365_val_00000416,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000416.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000416_recon.png,256x256x3,256x256x3,433.850341796875,20.8290744344744,14.64397144317627,151.0,45.0,21.75740416933172,0.9541351058086743,0.0012664794921875
Places365_val_00000417,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000417.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000417_recon.png,256x256x3,256x256x3,399.3759460449219,19.984392561319492,15.684555053710938,134.0,40.0,22.11698456603989,0.9520862801475435,0.0
Places365_val_00000418,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000418.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000418_recon.png,256x256x3,256x256x3,355.9051208496094,18.86544780411028,14.272506713867188,141.0,38.0,22.617461240842708,0.9652659942330063,4.57763671875e-05
Places365_val_00000419,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000419.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000419_recon.png,256x256x3,256x256x3,860.5878295898438,29.33577729649998,22.582345962524414,170.0,60.0,18.782851608589368,0.8645016252165488,1.52587890625e-05
Places365_val_00000420,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000420.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000420_recon.png,256x256x3,256x256x3,704.919921875,26.55032809354717,19.44663429260254,165.0,57.0,19.649405764482506,0.9122935347848348,1.52587890625e-05
Places365_val_00000421,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000421.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000421_recon.png,256x256x3,256x256x3,259.30145263671875,16.102839893531787,12.403762817382812,122.0,31.0,23.99275411123842,0.952593729787531,1.52587890625e-05
Places365_val_00000422,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000422.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000422_recon.png,256x256x3,256x256x3,529.5532836914062,23.012024762966995,18.419321060180664,193.0,43.0,20.891706954821988,0.9470246536499939,0.0
Places365_val_00000423,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000423.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000423_recon.png,256x256x3,256x256x3,354.3312072753906,18.82368739847192,12.996922492980957,171.0,41.0,22.636709569100038,0.9351033780569311,9.1552734375e-05
Places365_val_00000424,ok,True,E:\Main\Career\集创赛\jscc-test\smallTest\Places365_val_00000424.jpg,Semantic-Communication\session_bootstrap\reports\reconstruction_error_audit_tvm_current_300_20260714_153238\reconstructions\Places365_val_00000424_recon.png,256x256x3,256x256x3,809.7919921875,28.456844382107796,22.64763832092285,195.0,55.0,19.047068830341523,0.8275896418622944,1.52587890625e-05
